movie_id,title,director,genre,release_year,country,language,duration_minutes,content_rating,imdb_rating,netflix_rating,total_views,date_added_to_netflix,is_netflix_original,budget_millions,box_office_millions,profit_millions,years_on_netflix,rating_category
NF0030,Tale,Ryan Coogler,Thriller,2013,Spain,Hindi,170,TV-Y7,5.3,5.7,4245,2020-08-01,True,161.5,,,4,Average
NF0031,Nightmare,Patty Jenkins,Comedy,2020,Australia,Swedish,164,PG,5.3,5.0,140712,2024-10-09,False,133.71,559.28,425.56999999999994,0,Average
NF0032,Old Sky,Ridley Scott,Crime,2016,Sweden,English,118,NC-17,7.3,7.9,149760,2017-11-10,True,116.42,,,7,Good
NF0033,Secret,Zack Snyder,Biography,2014,Germany,Spanish,116,TV-PG,5.7,6.0,127156,2019-05-20,False,190.45,251.78,61.33000000000001,5,Average
NF0034,A Code,Parasite Director,Comedy,2022,Brazil,Thai,160,TV-14,8.6,8.7,194724,2022-08-24,True,,322.72,,2,Excellent
NF0035,Sun,Quentin Tarantino,Mystery,2007,South Korea,Japanese,169,TV-PG,5.4,5.2,13969,2024-09-18,False,50.59,,,0,Average
NF0036,Sky,Zack Snyder,Documentary,2014,Brazil,Thai,150,TV-G,8.4,8.3,165592,2015-09-25,True,,211.06,,9,Good
NF0037,Quick War,Denis Villeneuve,Fantasy,2009,Brazil,Spanish,171,NC-17,6.5,6.4,35117,2024-04-20,True,64.62,115.01,50.39,0,Average
NF0038,Star,James Cameron,Comedy,2009,Norway,Thai,122,TV-PG,5.9,5.8,24302,2018-08-04,False,42.16,724.35,682.19,6,Average
NF0039,Sun,Ryan Coogler,Biography,2017,USA,Norwegian,118,TV-Y7,6.3,6.5,46081,2017-04-26,False,147.19,,,7,Average
NF0040,Mission,Patty Jenkins,Biography,2024,USA,Turkish,123,TV-MA,5.1,5.8,181957,2024-04-15,False,,,,0,Average
NF0041,Storm,Christopher Nolan,Family,2024,Thailand,English,90,TV-MA,3.6,3.6,12068,2024-08-23,False,92.88,306.39,213.51,0,Poor
NF0042,Sun,Ryan Coogler,Fantasy,2008,Norway,Portuguese,90,TV-G,6.7,6.5,46800,2020-03-13,True,,761.78,,4,Average
NF0043,A Sun,Christopher Nolan,Sci-Fi,2009,Japan,English,159,PG-13,6.2,6.4,9704,2024-07-31,True,134.22,178.28,44.06,0,Average
NF0044,Mystery,Quentin Tarantino,Romance,2019,Italy,French,154,G,7.0,7.0,19400,2021-02-14,False,181.7,753.47,571.77,3,Average
NF0045,Light,Denis Villeneuve,Drama,2008,Italy,French,152,G,8.2,8.6,22249,2011-09-15,False,132.64,519.8,387.15999999999997,13,Good
NF0046,Tale,Patty Jenkins,Animation,2004,Brazil,German,135,PG-13,5.3,6.0,53026,2019-06-04,False,184.0,,,5,Average
NF0047,Fire,Jordan Peele,Documentary,2014,South Korea,Spanish,115,TV-G,7.4,8.5,7002,2019-04-24,True,,536.21,,5,Good
NF0048,Dream,Ridley Scott,Biography,2011,Japan,Norwegian,113,TV-Y,5.8,6.3,11973,2012-03-09,False,,,,12,Average
NF0049,Secret Story,Denis Villeneuve,Mystery,2010,Mexico,Italian,168,TV-G,6.6,6.3,74702,2022-08-30,False,4.43,326.5,322.07,2,Average
NF0050,Nightmare,Parasite Director,Animation,2009,Norway,Swedish,125,TV-G,6.5,6.3,16693,2016-11-13,False,46.88,,,8,Average
NF0051,Sun,Ridley Scott,Thriller,2011,Japan,Arabic,115,TV-14,4.9,5.1,57536,2013-10-03,False,,,,11,Poor
NF0052,Quest,Christopher Nolan,Horror,2010,Spain,Hindi,86,TV-PG,7.4,7.3,10947,2015-09-29,False,26.13,,,9,Good
NF0053,Fire,Greta Gerwig,Biography,2015,Mexico,Mandarin,123,PG-13,5.3,5.1,137068,2016-02-28,True,172.48,56.95,-115.52999999999999,8,Average
NF0054,Sky,Martin Scorsese,Horror,2015,France,Dutch,90,R,6.0,6.3,64725,2015-11-10,True,83.82,496.64,412.82,9,Average
NF0055,Love,Greta Gerwig,Mystery,2021,Italy,Hindi,158,PG,6.8,7.5,51290,2024-04-29,True,53.66,195.69,142.03,0,Average
NF0056,Great Love,Parasite Director,Crime,2016,India,Italian,116,NC-17,6.0,5.9,136507,2017-03-21,False,47.45,634.04,586.5899999999999,7,Average
NF0057,Secret,Patty Jenkins,Drama,2017,Turkey,Italian,162,PG-13,6.9,7.3,28569,2024-08-22,False,,136.91,,0,Average
NF0058,Fire,Greta Gerwig,War,2010,Canada,Mandarin,168,NC-17,8.4,8.0,191024,2024-03-29,False,,397.57,,0,Good
NF0059,Great Moon,Rian Johnson,Fantasy,2005,USA,Spanish,109,TV-MA,6.9,7.1,70884,2023-06-01,True,,,,1,Average
NF0060,Final War,Zack Snyder,War,2010,Spain,Japanese,154,TV-Y7,6.8,7.2,628,2022-12-19,False,,329.64,,2,Average
NF0061,Dream,Patty Jenkins,Biography,2011,Italy,Turkish,177,TV-PG,6.9,6.5,350,2013-07-18,True,63.59,776.3,712.7099999999999,11,Average
NF0062,Journey,Christopher McQuarrie,War,2013,Norway,Hindi,104,TV-PG,6.8,6.2,80057,2024-08-09,False,100.2,46.03,-54.17,0,Average
NF0063,Dark Love,Parasite Director,Drama,2009,USA,Italian,170,PG-13,4.7,5.0,58534,2022-04-27,False,110.9,793.84,682.94,2,Poor
NF0064,Tale,David Fincher,Biography,2024,Italy,Portuguese,133,TV-G,5.4,4.8,74107,2024-07-06,False,110.7,737.89,627.1899999999999,0,Average
NF0065,Story,Jordan Peele,Mystery,2015,Australia,Portuguese,80,NC-17,7.9,8.1,84673,2023-10-07,False,,529.65,,1,Good
NF0066,War,Chloe Zhao,Documentary,2023,Turkey,Turkish,138,TV-Y,5.2,5.3,23837,2023-08-13,True,,309.46,,1,Average
NF0067,Loud Star,Ryan Coogler,Family,2023,France,Arabic,84,PG-13,5.2,4.8,187840,2024-05-07,False,,,,0,Average
NF0068,Love,Christopher Nolan,Horror,2013,Norway,German,89,TV-G,7.8,7.7,77792,2014-12-28,False,138.85,,,10,Good
NF0069,Storm,Ryan Coogler,Documentary,2023,Mexico,Hindi,159,PG,6.5,7.2,55910,2024-01-09,True,184.26,,,0,Average
NF0070,Tale,Quentin Tarantino,War,2020,Germany,Dutch,83,G,4.4,4.4,56397,2021-04-03,False,,303.0,,3,Poor
NF0071,Fire,Ridley Scott,Romance,2007,Germany,Spanish,158,TV-Y7,4.9,5.1,138233,2015-06-24,True,117.05,512.13,395.08,9,Poor
NF0072,Shadow,Bong Joon-ho,Crime,2014,Turkey,Japanese,89,TV-G,6.3,6.7,214253,2017-03-02,False,,769.81,,7,Average
NF0073,Quest,James Cameron,Family,2019,Mexico,French,110,TV-Y7,5.2,4.4,99045,2020-11-19,False,198.55,782.47,583.9200000000001,4,Average
NF0074,Big Sky,Martin Scorsese,Biography,2018,Italy,Italian,157,TV-Y,5.1,4.8,41500,2023-03-15,True,124.56,,,1,Average
NF0075,Light,David Fincher,Drama,2020,India,Dutch,180,TV-G,6.8,7.0,57399,2024-06-20,True,146.74,239.61,92.87,0,Average
NF0076,First Shadow,Christopher McQuarrie,Animation,2020,Argentina,Portuguese,101,NC-17,6.8,6.4,313518,2023-02-03,False,,696.97,,1,Average
NF0077,Story,David Fincher,Sci-Fi,2022,Sweden,Norwegian,91,TV-Y7,6.6,6.0,138508,2022-05-11,True,25.59,600.46,574.87,2,Average
NF0078,Earth,Chloe Zhao,Drama,2009,South Korea,Arabic,83,TV-14,7.8,8.3,94558,2023-02-10,False,,55.26,,1,Good
NF0079,Quest,Patty Jenkins,Drama,2022,France,Hindi,84,NC-17,4.4,3.9,72924,2023-10-12,False,47.73,313.97,266.24,1,Poor
NF0080,Moon,David Fincher,Mystery,2012,Canada,Arabic,158,TV-Y7,7.0,7.1,171123,2024-06-08,False,74.74,760.69,685.95,0,Average
NF0081,New Storm,Chloe Zhao,Adventure,2023,Sweden,Portuguese,104,PG,7.3,9.2,116869,2024-03-14,False,43.21,,,0,Good
NF0082,Code,David Fincher,Thriller,2004,UK,Korean,155,R,8.5,9.0,135032,2011-02-19,True,30.36,,,13,Good
NF0083,Legend,David Fincher,Fantasy,2004,Germany,French,164,G,6.0,6.4,28256,2016-03-21,True,158.21,262.4,104.18999999999997,8,Average
NF0084,Great Peace,Quentin Tarantino,Comedy,2007,Mexico,Mandarin,179,TV-Y,6.7,6.3,2452,2015-12-14,True,45.09,,,9,Average
NF0085,Sky,Zack Snyder,Crime,2020,Brazil,English,87,TV-G,10.0,9.1,33763,2024-09-13,False,22.48,,,0,Excellent
NF0086,Dream,David Fincher,Comedy,2013,France,Portuguese,159,TV-MA,5.9,5.9,2245,2014-10-09,False,119.88,406.91,287.03000000000003,10,Average
NF0087,Tale,Christopher McQuarrie,Thriller,2013,Norway,Mandarin,109,TV-Y7,5.8,6.3,7881,2014-10-05,False,,585.04,,10,Average
NF0088,Mission,Chloe Zhao,Horror,2011,Mexico,Spanish,91,PG,8.8,8.9,21394,2020-07-31,True,149.17,108.44,-40.72999999999999,4,Excellent
NF0089,Storm,Rian Johnson,Drama,2005,Norway,Norwegian,165,TV-Y7,5.4,5.5,2865,2023-02-26,True,,,,1,Average
NF0090,Secret,David Fincher,Biography,2011,South Korea,French,124,TV-PG,10.0,10.0,101453,2014-03-17,False,56.44,346.14,289.7,10,Excellent
NF0091,Earth,Christopher McQuarrie,Action,2016,China,Portuguese,83,PG-13,3.5,3.6,55497,2023-07-21,False,,275.16,,1,Poor
NF0092,Fire,Ryan Coogler,Comedy,2004,France,English,91,TV-PG,5.8,5.0,4738,2014-01-26,True,91.28,252.75,161.47,10,Average
NF0093,Adventure,David Fincher,Romance,2011,China,Hindi,166,PG,7.3,7.7,38387,2024-01-02,False,85.38,,,0,Good
NF0094,Quick Tale,Chloe Zhao,Mystery,2013,Canada,Dutch,166,TV-MA,6.0,5.8,17280,2019-05-31,False,62.38,787.63,725.25,5,Average
NF0095,Secret Sun,David Fincher,Fantasy,2005,Italy,Swedish,95,G,9.1,9.3,98224,2010-03-04,False,,307.26,,14,Excellent
NF0096,Light,Chloe Zhao,Comedy,2019,Sweden,Hindi,135,G,7.1,7.9,67168,2021-01-26,False,,,,3,Good
NF0097,Star,Patty Jenkins,Crime,2016,Canada,Turkish,82,TV-Y,4.2,4.0,18480,2021-09-22,True,,,,3,Poor
NF0098,Story,Patty Jenkins,Drama,2022,South Korea,Thai,155,TV-Y7,6.1,7.0,6280,2024-08-04,True,62.74,269.79,207.05,0,Average
NF0099,Tale,Zack Snyder,Thriller,2007,Netherlands,Norwegian,173,TV-MA,1.6,1.1,3043,2011-09-18,True,30.14,483.91,453.77000000000004,13,Poor
NF0100,Loud Love,Bong Joon-ho,Documentary,2021,Australia,German,136,PG,3.5,2.8,33485,2024-09-21,False,61.26,49.66,-11.600000000000001,0,Poor
NF0101,Love,Martin Scorsese,Adventure,2015,Netherlands,Dutch,89,TV-MA,5.8,5.9,27224,2016-03-17,True,101.91,445.68,343.77,8,Average
NF0102,Shadow,James Cameron,Documentary,2021,China,Arabic,144,PG-13,6.6,7.8,128129,2021-12-27,True,162.38,,,3,Average
NF0103,Mystery,Martin Scorsese,Sci-Fi,2020,Brazil,Mandarin,147,TV-PG,5.0,5.2,3659,2020-06-28,True,183.67,620.7,437.0300000000001,4,Poor
NF0104,Bright Story,Rian Johnson,Drama,2019,Turkey,Turkish,116,NC-17,6.2,6.2,54643,2022-07-30,True,116.97,283.11,166.14000000000001,2,Average
NF0105,An Quest,Christopher McQuarrie,Family,2018,Australia,German,165,TV-MA,6.7,7.0,32917,2023-02-09,True,85.26,293.27,208.01,1,Average
NF0106,Sun,Parasite Director,Thriller,2008,South Korea,German,99,PG,5.6,6.7,44173,2014-10-21,False,,617.85,,10,Average
NF0107,Bright Sun,David Fincher,Family,2022,France,Japanese,103,TV-14,6.3,6.6,204692,2024-03-16,True,,294.62,,0,Average
NF0108,Water,Greta Gerwig,War,2020,South Korea,Italian,119,TV-G,5.8,5.9,22281,2021-06-20,True,189.48,,,3,Average
NF0109,Old Peace,Zack Snyder,Mystery,2014,Germany,Korean,157,PG-13,5.6,6.0,7042,2022-12-25,False,96.64,747.76,651.12,2,Average
NF0110,Tale,Greta Gerwig,Comedy,2019,Germany,Portuguese,137,TV-PG,7.9,8.6,165853,2024-09-11,True,,728.85,,0,Good
NF0111,Journey,Patty Jenkins,Adventure,2022,Sweden,Norwegian,110,TV-Y7,7.7,8.0,25512,2023-07-31,True,6.61,,,1,Good
NF0112,Legend,David Fincher,Adventure,2022,Italy,Arabic,169,PG-13,7.3,6.9,120027,2024-08-22,False,2.04,208.46,206.42000000000002,0,Good
NF0113,Moon,Zack Snyder,Mystery,2022,Canada,Dutch,110,NC-17,6.5,6.6,30240,2023-02-23,True,84.55,,,1,Average
NF0114,Loud Water,Christopher McQuarrie,Action,2014,Argentina,Italian,171,PG-13,5.5,6.1,146857,2014-12-15,False,123.35,336.17,212.82000000000002,10,Average
NF0115,Nightmare,Steven Spielberg,Action,2018,Sweden,Arabic,85,TV-MA,6.2,6.7,86166,2019-11-10,False,,17.91,,5,Average
NF0116,Moon,Quentin Tarantino,Documentary,2021,France,Hindi,125,TV-PG,5.9,6.0,137378,2022-01-23,False,,624.42,,2,Average
NF0117,Mystery,David Fincher,Comedy,2014,Brazil,Hindi,117,R,8.5,8.5,32787,2022-03-21,True,,,,2,Good
NF0118,Light,Christopher McQuarrie,Biography,2011,Spain,Hindi,176,TV-MA,6.1,6.5,664,2018-01-12,True,172.57,526.31,353.73999999999995,6,Average
NF0119,Fear,Ryan Coogler,War,2010,Sweden,Swedish,103,TV-G,7.0,6.9,210556,2012-12-01,False,159.66,70.68,-88.97999999999999,12,Average
NF0120,Light,Ridley Scott,Crime,2013,Australia,French,90,TV-Y,9.4,9.9,55931,2015-04-16,False,120.92,553.36,432.44,9,Excellent
NF0121,New Water,Patty Jenkins,Fantasy,2011,India,Spanish,165,TV-MA,5.0,4.4,55816,2021-11-28,False,160.42,,,3,Poor
NF0122,Sky,Bong Joon-ho,Adventure,2004,France,Spanish,110,TV-MA,7.7,8.0,120029,2013-03-15,False,189.94,126.98,-62.959999999999994,11,Good
NF0123,Love,Steven Spielberg,Horror,2014,Argentina,Norwegian,130,TV-Y,6.5,6.1,3853,2024-09-23,False,23.58,,,0,Average
NF0124,Storm,Quentin Tarantino,Fantasy,2015,Spain,Mandarin,107,TV-14,3.4,4.3,74345,2020-12-30,False,199.73,112.9,-86.82999999999998,4,Poor
NF0125,Silent Story,Rian Johnson,Animation,2005,UK,Dutch,118,PG-13,5.3,5.1,8178,2020-02-21,True,,101.48,,4,Average
NF0126,Loud Journey,Chloe Zhao,Animation,2008,Brazil,German,158,PG,7.4,8.1,7889,2013-02-11,True,199.92,,,11,Good
NF0127,Light,Steven Spielberg,Horror,2015,Australia,Spanish,137,TV-G,6.9,6.6,5212,2020-05-24,False,165.98,472.29,306.31000000000006,4,Average
NF0128,Adventure,Quentin Tarantino,Horror,2021,Italy,Japanese,100,TV-Y,7.3,7.7,6193,2021-12-10,True,188.24,,,3,Good
NF0129,Slow Mission,David Fincher,Crime,2022,China,Spanish,144,TV-MA,4.3,3.6,72049,2023-03-11,True,116.55,501.46,384.90999999999997,1,Poor
NF0130,Fire,Martin Scorsese,Action,2024,UK,Hindi,162,TV-14,5.5,6.2,4795,2024-08-26,False,153.62,513.0,359.38,0,Average
NF0131,Earth,Greta Gerwig,Biography,2015,South Korea,Turkish,118,TV-G,7.0,7.7,38642,2022-03-14,True,32.46,374.23,341.77000000000004,2,Average
NF0132,Star,Rian Johnson,Animation,2011,Sweden,German,177,TV-Y,6.0,6.0,37941,2014-11-06,True,93.83,202.1,108.27,10,Average
NF0133,Old Water,Patty Jenkins,Sci-Fi,2006,Germany,Swedish,153,TV-Y,7.0,6.6,95941,2011-02-19,True,,414.21,,13,Average
NF0134,Story,Ryan Coogler,War,2015,South Korea,Korean,154,TV-Y,7.2,7.2,33825,2018-08-23,True,99.48,,,6,Good
NF0135,The Tale,Patty Jenkins,Horror,2018,Spain,Norwegian,177,TV-Y7,7.5,7.3,18981,2023-12-13,False,11.18,293.21,282.03,1,Good
NF0136,Love,Christopher McQuarrie,Fantasy,2010,China,French,96,PG,6.6,7.1,327150,2012-02-14,False,197.37,295.66,98.29000000000002,12,Average
NF0137,Hope,Zack Snyder,Adventure,2007,India,Hindi,97,TV-Y,6.6,6.2,229915,2014-06-19,False,30.64,,,10,Average
NF0138,Dream,Ridley Scott,Family,2007,China,Dutch,155,TV-Y,9.9,10.0,117800,2017-05-10,False,,653.52,,7,Excellent
NF0139,Fear,Greta Gerwig,Action,2012,China,Arabic,113,TV-MA,9.7,9.3,85149,2019-09-09,True,,140.56,,5,Excellent
NF0140,Hidden Adventure,Quentin Tarantino,Thriller,2018,USA,Mandarin,120,TV-Y7,6.3,6.8,60979,2022-05-15,True,41.57,491.13,449.56,2,Average
NF0141,Moon,Martin Scorsese,Horror,2014,Argentina,Korean,151,TV-Y,5.2,4.9,32399,2024-05-13,False,63.44,730.14,666.7,0,Average
NF0142,Sun,Jordan Peele,Biography,2011,Japan,Italian,115,TV-PG,8.0,7.1,6473,2023-12-06,False,194.61,234.76,40.14999999999998,1,Good
NF0143,Nightmare,Christopher McQuarrie,Fantasy,2008,Italy,French,153,TV-MA,7.0,7.9,25926,2020-12-19,False,,279.38,,4,Average
NF0144,Dark Star,Steven Spielberg,Animation,2021,Brazil,Portuguese,175,TV-G,7.4,7.9,13133,2022-02-26,True,108.18,,,2,Good
NF0145,Small Moon,Denis Villeneuve,Sci-Fi,2019,India,Italian,161,R,4.5,5.4,121455,2021-02-19,True,66.73,546.55,479.81999999999994,3,Poor
NF0146,Mystery,Patty Jenkins,Biography,2007,Mexico,Korean,176,NC-17,6.4,6.3,106473,2010-02-12,False,12.77,,,14,Average
NF0147,Moon,Martin Scorsese,Romance,2018,Norway,Japanese,84,TV-Y7,3.9,4.6,136644,2021-03-26,False,150.05,,,3,Poor
NF0148,Big Water,Quentin Tarantino,Documentary,2010,Italy,Mandarin,162,TV-PG,6.9,7.0,43636,2011-05-01,False,,405.85,,13,Average
NF0149,Dream,Ridley Scott,War,2010,Spain,Japanese,81,TV-Y,4.1,3.8,2379,2014-06-11,False,151.7,685.64,533.94,10,Poor
NF0150,Peace,Rian Johnson,Comedy,2024,Sweden,French,103,PG-13,6.9,7.1,563898,2024-05-26,False,50.36,192.24,141.88,0,Average
NF0151,Quest,Christopher Nolan,Fantasy,2020,Netherlands,Italian,87,TV-MA,6.5,6.5,95243,2022-05-26,True,32.78,,,2,Average
NF0152,Star,Quentin Tarantino,Crime,2024,Netherlands,Italian,108,PG-13,6.0,5.2,8297,2024-10-06,False,149.8,,,0,Average
NF0153,Shadow,James Cameron,Sci-Fi,2013,China,Spanish,147,TV-G,6.7,7.0,17393,2023-11-20,False,113.27,440.38,327.11,1,Average
NF0154,Legend,Ridley Scott,Documentary,2015,Argentina,Mandarin,94,TV-MA,8.1,8.9,35917,2017-08-08,True,,719.62,,7,Good
NF0155,First Peace,Patty Jenkins,War,2013,Thailand,Hindi,151,TV-G,7.0,6.6,51422,2023-01-22,False,,654.08,,1,Average
NF0156,Adventure,Patty Jenkins,Animation,2020,UK,Hindi,88,TV-G,6.7,7.5,128088,2021-12-12,True,36.82,515.01,478.19,3,Average
NF0157,Nightmare,Ryan Coogler,War,2020,Sweden,Turkish,90,TV-MA,9.6,10.0,200904,2023-12-23,True,70.21,432.12,361.91,1,Excellent
NF0158,Code,Christopher Nolan,Action,2015,Italy,Mandarin,166,TV-PG,5.0,4.9,1460,2017-04-15,False,164.85,280.2,115.35,7,Poor
NF0159,Moon,Quentin Tarantino,Adventure,2010,Norway,English,110,R,7.5,8.2,91324,2014-05-30,True,7.68,564.11,556.4300000000001,10,Good
NF0160,Hope,Bong Joon-ho,Sci-Fi,2005,Turkey,Korean,176,G,5.8,5.6,849,2015-06-28,True,58.56,,,9,Average
NF0161,Water,Rian Johnson,Sci-Fi,2020,Italy,German,164,TV-PG,8.1,7.2,40336,2023-08-20,True,55.76,475.38,419.62,1,Good
NF0162,Fear,Christopher McQuarrie,Biography,2020,India,Norwegian,162,TV-MA,7.8,7.7,33392,2021-06-20,False,,335.98,,3,Good
NF0163,Sun,Christopher McQuarrie,Biography,2007,South Korea,Italian,118,PG-13,8.8,8.8,44447,2016-09-22,False,,774.39,,8,Excellent
NF0164,Hidden Mission,James Cameron,Documentary,2016,UK,Mandarin,127,PG,8.0,8.2,238895,2022-06-10,True,76.06,,,2,Good
NF0165,Big Moon,Christopher McQuarrie,Thriller,2004,Mexico,Korean,122,NC-17,3.9,3.9,23968,2011-08-20,True,38.81,,,13,Poor
NF0166,Star,James Cameron,Family,2020,South Korea,Swedish,179,NC-17,6.5,6.7,25910,2023-06-08,False,130.1,290.92,160.82000000000002,1,Average
NF0167,Shadow,Parasite Director,Documentary,2023,Japan,Norwegian,120,TV-Y7,4.5,4.8,3550,2024-06-29,True,45.03,212.32,167.29,0,Poor
NF0168,Secret Dream,Denis Villeneuve,Family,2024,Thailand,Italian,143,TV-PG,4.8,5.0,20358,2024-12-19,False,164.5,,,0,Poor
NF0169,Moon,Chloe Zhao,Romance,2018,France,Arabic,103,TV-PG,6.4,6.9,70482,2023-11-22,True,167.97,655.31,487.3399999999999,1,Average
NF0170,Light,Denis Villeneuve,Comedy,2005,France,English,107,TV-PG,5.8,5.6,2420,2010-02-22,False,123.95,,,14,Average
NF0171,Journey,Christopher Nolan,Mystery,2017,USA,English,147,NC-17,5.7,5.3,11104,2023-03-31,False,162.82,,,1,Average
NF0172,Tale,Quentin Tarantino,Horror,2022,South Korea,Korean,159,TV-PG,4.3,4.2,19478,2024-09-18,False,,320.53,,0,Poor
NF0173,Code,Denis Villeneuve,Crime,2012,UK,Hindi,91,TV-Y7,9.4,9.4,3769,2021-06-22,False,95.73,,,3,Excellent
NF0174,Great Earth,Rian Johnson,Drama,2019,Argentina,Hindi,109,R,7.3,7.9,6226,2020-09-20,False,184.91,,,4,Good
NF0175,Adventure,Ridley Scott,Documentary,2010,USA,Korean,155,PG-13,6.3,6.2,103378,2022-06-19,False,,453.35,,2,Average
NF0176,Storm,Rian Johnson,Family,2016,France,Spanish,144,TV-Y,5.4,5.7,12684,2021-01-26,True,47.2,486.11,438.91,3,Average
NF0177,Sun,Rian Johnson,Action,2017,Spain,Mandarin,142,R,6.1,4.9,58743,2024-06-11,False,75.71,470.77,395.06,0,Average
NF0178,Quest,Denis Villeneuve,Comedy,2012,UK,Portuguese,99,TV-Y7,5.6,4.5,77068,2014-06-12,True,,89.71,,10,Average
NF0179,Sun,Jordan Peele,Drama,2004,France,Spanish,103,TV-Y7,7.4,7.6,53041,2016-11-30,False,102.98,76.25,-26.730000000000004,8,Good
NF0180,Shadow,Rian Johnson,Family,2016,USA,Dutch,132,TV-Y7,5.0,5.0,29657,2017-06-22,True,,794.22,,7,Poor
NF0181,Sky,Ryan Coogler,Romance,2009,France,Portuguese,118,NC-17,4.1,4.2,12860,2022-10-30,False,34.27,243.3,209.03,2,Poor
NF0182,Code,Parasite Director,Thriller,2021,Brazil,French,97,NC-17,6.2,6.2,24100,2021-12-25,True,,498.05,,3,Average
